Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
1,Samuel Adeniran,usUSA,FW,LASK,25,1998,14,6,566,6.3,1,1,2,1,0,0,4,0,0.16,0.16,0.32,0.16,0.32
2,Ange Ahoussou,ciCIV,DF,Rapid Wien,20,2003,10,8,787,8.7,0,0,0,0,0,0,2,0,0,0,0,0,0
3,Emanuel Aiwum,atAUT,DF,Sturm Graz,23,2000,27,25,"2,232",24.8,1,0,1,1,0,0,8,0,0.04,0,0.04,0.04,0.04
4,Konstantin Aleksa,atAUT,FW,Austria Wien,17,2007,9,0,85,0.9,0,1,1,0,0,0,0,0,0,1.06,1.06,0,1.06
5,Sandro Altunashvili,geGEO,MF,Wolfsberger AC,27,1997,18,8,794,8.8,1,0,1,1,0,0,1,0,0.11,0,0.11,0.11,0.11
6,Nelson Amadin,nlNED,MF,Hartberg,23,2000,5,1,148,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Romeo Amane,ciCIV,MF,Rapid Wien,21,2003,9,5,562,6.2,1,0,1,1,0,0,0,0,0.16,0,0.16,0.16,0.16
8,Anderson,brBRA,"MF,DF",Blau-Weiß Linz,26,1998,31,30,"2,494",27.7,2,5,7,2,0,0,3,0,0.07,0.18,0.25,0.07,0.25
9,Andrés Andrade Cedeño,paPAN,DF,LASK,25,1998,7,7,523,5.8,1,1,2,1,0,0,1,1,0.17,0.17,0.34,0.17,0.34
10,Tobias Anselm,atAUT,"FW,MF",WSG Tirol,24,2000,20,3,603,6.7,2,0,2,2,0,0,1,0,0.3,0,0.3,0.3,0.3
11,David Atanga,ghGHA,"MF,FW",Wolfsberger AC,27,1996,15,6,721,8,4,1,5,3,1,1,3,0,0.5,0.12,0.62,0.37,0.5
12,Jonas Auer,atAUT,DF,Rapid Wien,23,2000,25,22,"1,970",21.9,2,1,3,2,0,0,4,0,0.09,0.05,0.14,0.09,0.14
13,Donis Avdijaj,xkKVX,"MF,FW",Hartberg,27,1996,29,27,"2,227",24.7,4,4,8,4,0,0,4,0,0.16,0.16,0.32,0.16,0.32
14,Sofian Bahloul,frFRA,"FW,MF",SCR Altach,24,1999,12,4,437,4.9,0,1,1,0,0,0,1,0,0,0.21,0.21,0,0.21
15,Mike-Steven Bähre,deGER,MF,SCR Altach,28,1995,29,23,"2,005",22.3,1,1,2,0,1,2,9,0,0.04,0.04,0.09,0,0.04
16,Edmund Baidoo,ghGHA,"MF,FW",RB Salzburg,18,2006,18,2,473,5.3,4,1,5,4,0,0,0,0,0.76,0.19,0.95,0.76,0.95
17,Samson Baidoo,atAUT,DF,RB Salzburg,20,2004,29,29,"2,609",29,0,0,0,0,0,0,5,1,0,0,0,0,0
18,Stefan Bajcetic,esESP,MF,RB Salzburg,19,2004,12,6,614,6.8,0,0,0,0,0,0,3,0,0,0,0,0,0
19,Elias Bakatukanda,deGER,DF,Blau-Weiß Linz,20,2004,12,7,717,8,1,0,1,1,0,0,1,0,0.13,0,0.13,0.13,0.13
20,Thierno Ballo,atAUT,"FW,MF",Wolfsberger AC,22,2002,31,29,"2,451",27.2,10,6,16,8,2,2,7,0,0.37,0.22,0.59,0.29,0.51
21,Mazou Bambara,bfBFA,FW,WSG Tirol,22,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Abubakr Barry,gmGAM,MF,Austria Wien,24,2000,30,27,"2,147",23.9,1,3,4,1,0,0,8,0,0.04,0.13,0.17,0.04,0.17
23,Dominik Baumgartner,atAUT,DF,Wolfsberger AC,28,1996,28,28,"2,405",26.7,2,0,2,2,0,0,8,0,0.07,0,0.07,0.07,0.07
24,Belmin Beganovic,baBIH,FW,Sturm Graz,19,2004,3,0,35,0.4,0,0,0,0,0,0,2,1,0,0,0,0,0
25,George Bello,usUSA,"DF,MF",LASK,22,2002,29,27,"2,443",27.1,1,0,1,1,0,0,5,0,0.04,0,0.04,0.04,0.04
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
26,Keanan Bennetts,engENG,"MF,FW",SK Austria Klagenfurt,25,1999,11,4,453,5,0,0,0,0,0,0,2,0,0,0,0,0,0
27,Valon Berisha,xkKVX,MF,LASK,31,1993,21,17,"1,411",15.7,3,4,7,3,0,0,2,0,0.19,0.26,0.45,0.19,0.45
28,Mads Bidstrup,dkDEN,MF,RB Salzburg,23,2001,30,24,"2,234",24.8,1,1,2,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08
29,Mika Biereth,dkDEN,"FW,MF",Sturm Graz,21,2003,16,15,"1,267",14.1,11,4,15,11,0,0,2,0,0.78,0.28,1.07,0.78,1.07
