Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
1,Ahmed Abdullahi,ngNGA,MF,Gent,20,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Francis Abu,ghGHA,MF,Cercle Brugge,23,2001,29,17,"1,659",18.4,0,4,4,0,0,0,1,0,0.7,0.7,2.1,2.8,6,128,34,0,0.22,0.22,0,0.22,0.04,0.11,0.15,0.04,0.15,Matches
3,Orseer Achihi,ngNGA,FW,Antwerp,17,2006,1,0,28,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,0,0,0,0,0,0.09,0,0.09,0.09,0.09,Matches
4,Desmond Acquah,beBEL,"MF,DF",Dender,22,2002,13,0,231,2.6,0,0,0,0,0,0,1,0,0,0,0.1,0.1,3,15,16,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05,Matches
5,Noah Adedeji,beBEL,"FW,MF",Genk,19,2005,23,5,525,5.8,3,3,6,3,0,0,0,0,3,3,1.7,4.7,35,16,58,0.51,0.51,1.03,0.51,1.03,0.51,0.29,0.8,0.51,0.8,Matches
6,Farouck Adekami,ciCIV,"FW,MF",Antwerp,17,2006,3,1,129,1.4,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.4,3,2,18,0,0,0,0,0,0.16,0.09,0.25,0.16,0.25,Matches
7,Adryelson,brBRA,DF,Anderlecht,26,1998,7,6,542,6,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,2,27,1,0.17,0,0.17,0.17,0.17,0.05,0.02,0.07,0.05,0.07,Matches
8,Lawrence Agyekum,ghGHA,MF,Cercle Brugge,20,2003,27,23,"1,963",21.8,0,0,0,0,0,0,2,0,1.8,1.8,1.8,3.6,27,74,51,0,0,0,0,0,0.08,0.08,0.17,0.08,0.17,Matches
9,Takahiro Akimoto,jpJPN,DF,OH Leuven,26,1998,25,23,"2,027",22.5,0,0,0,0,0,0,6,0,0.7,0.7,1.1,1.8,22,58,48,0,0,0,0,0,0.03,0.05,0.08,0.03,0.08,Matches
10,Ali Akman,trTUR,"FW,MF",Dender,22,2002,4,0,44,0.5,1,0,1,1,0,0,0,0,0.1,0.1,0,0.1,0,3,3,2.05,0,2.05,2.05,2.05,0.17,0,0.17,0.17,0.17,Matches
11,Josimar Alcocer,crCRC,"FW,MF",Westerlo,20,2004,24,12,"1,309",14.5,1,0,1,1,0,0,6,0,2.5,2.5,0.9,3.4,37,37,96,0.07,0,0.07,0.07,0.07,0.17,0.06,0.23,0.17,0.23,Matches
12,Toby Alderweireld,beBEL,DF,Antwerp,35,1989,27,27,"2,425",26.9,3,2,5,3,0,0,6,0,1.8,1.8,1.7,3.5,6,90,11,0.11,0.07,0.19,0.11,0.19,0.07,0.06,0.13,0.07,0.13,Matches
13,Ryan Alebiosu,engENG,DF,Kortrijk,22,2001,13,7,610,6.8,0,2,2,0,0,0,1,0,0.1,0.1,0.8,1,27,15,42,0,0.3,0.3,0,0.3,0.02,0.12,0.14,0.02,0.14,Matches
14,Sotiris Alexandropoulos,grGRE,MF,Standard Liège,22,2001,26,6,687,7.6,0,0,0,0,0,0,4,0,0.2,0.2,0.7,0.9,15,54,11,0,0,0,0,0,0.03,0.09,0.12,0.03,0.12,Matches
