Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
1,Carlos Enrique Áñez,boBOL,DF,Guabirá,29-344,1995,9,9,810,9,4,0,4,4,0,0,2,0,0.44,0,0.44,0.44,0.44,Matches
2,Carlos Abastoflor,boBOL,MF,Oriente Petrolero,23-067,2002,3,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3,Matías Abisab,uyURU,MF,Blooming,31-278,1993,7,2,176,2,0,1,1,0,0,0,0,0,0,0.51,0.51,0,0.51,Matches
4,Victor Abrego,boBOL,FW,Nacional Potosí,28-124,1997,6,5,444,4.9,1,0,1,0,1,1,1,0,0.2,0,0.2,0,0,Matches
5,Nahuel Acosta,uyURU,FW,Blooming,26-035,1999,7,7,528,5.9,3,3,6,3,0,0,1,0,0.51,0.51,1.02,0.51,1.02,Matches
6,Moisés Acuña,veVEN,DF,Nacional Potosí,28-327,1996,4,4,360,4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
7,Ronald Acuña,pyPAR,FW,Oriente Petrolero,32-021,1993,7,4,335,3.7,2,0,2,2,0,0,0,0,0.54,0,0.54,0.54,0.54,Matches
8,Fernando Aguilar,boBOL,MF,Real Tomayapo,28-065,1997,2,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Daniel Aguilera,boBOL,DF,Indep Petrolero,21-055,2004,8,7,652,7.2,0,1,1,0,0,0,1,0,0,0.14,0.14,0,0.14,Matches
10,David Akologo,boBOL,GK,Aurora,28-116,1997,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
11,Jenrry Alaca,boBOL,FW,ABB,38-213,1986,8,8,658,7.3,0,0,0,0,0,0,6,1,0,0,0,0,0,Matches
12,Kevin Aladesanmi,coCOL,FW,FC Universitario,26-215,1998,5,2,200,2.2,1,1,2,1,0,0,0,0,0.45,0.45,0.9,0.45,0.9,Matches
13,Martín Alaníz,uyURU,MF,Blooming,32-116,1993,8,6,619,6.9,3,2,5,2,1,1,2,0,0.44,0.29,0.73,0.29,0.58,Matches
14,Misael Alcocer,boBOL,FW,Always Ready,20-146,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Paolo Alcocer,boBOL,MF,FC Universitario,24-285,2000,2,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
16,Albano Alessandrini,arARG,DF,Real Oruro,21-140,2004,2,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
17,José Alí Gutiérrez,boBOL,MF,Real Oruro,20-033,2005,2,2,142,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
18,Luis Alí,boBOL,FW,Real Oruro,31-059,1994,9,1,254,2.8,1,1,2,1,0,0,3,0,0.35,0.35,0.71,0.35,0.71,Matches
19,Jose Alipaz,boBOL,FW,FC Universitario,23-075,2002,7,3,265,2.9,1,1,2,1,0,0,0,0,0.34,0.34,0.68,0.34,0.68,Matches
20,Gustavo Almada,boBOL,GK,Blooming,31-047,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Sebastián Altamirano,boBOL,DF,The Strongest,19-037,2006,9,8,720,8,0,1,1,0,0,0,2,0,0,0.12,0.12,0,0.12,Matches
22,Eduardo Álvarez,boBOL,DF,Real Oruro,22-067,2003,5,4,347,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
23,William Álvarez,boBOL,FW,Nacional Potosí,29-273,1995,8,0,168,1.9,1,1,2,1,0,0,0,0,0.54,0.54,1.07,0.54,1.07,Matches
24,Alfredo Amarilla,pyPAR,MF,Aurora,23-282,2001,6,5,381,4.2,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
25,Joel Amoroso,arARG,"FW,MF",The Strongest,37-158,1988,9,9,759,8.4,3,6,9,2,1,1,0,0,0.36,0.71,1.07,0.24,0.95,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Claudio Ancieta,boBOL,FW,Wilstermann,21-196,2003,2,0,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
27,Tomás Andrade,arARG,MF,Always Ready,28-211,1996,5,0,128,1.4,2,1,3,2,0,0,0,0,1.41,0.7,2.11,1.41,2.11,Matches
28,Tobías Andre Moriceau,arARG,MF,The Strongest,28-067,1997,9,7,596,6.6,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
29,Miguel Ángel Becerra,boBOL,DF,Blooming,32-023,1993,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Miguel Ángel Torrén,arARG,DF,Bolívar,36-307,1988,3,2,215,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
31,José Antonio Pinto,boBOL,MF,FC Universitario,25-040,2000,5,2,215,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
32,Cristian Árabe,boBOL,MF,Oriente Petrolero,33-172,1991,7,2,267,3,1,0,1,1,0,0,1,0,0.34,0,0.34,0.34,0.34,Matches
33,Brayan Aranibar,boBOL,MF,Aurora,26-335,1998,3,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
34,Paul Arano,boBOL,MF,Guabirá,30-112,1995,7,3,347,3.9,0,1,1,0,0,0,1,0,0,0.26,0.26,0,0.26,Matches
35,Elder Arauz,boBOL,GK,Indep Petrolero,35-053,1990,4,4,303,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
36,Germán Arauz,boBOL,GK,Real Tomayapo,30-021,1995,9,9,810,9,0,1,1,0,0,0,2,0,0,0.11,0.11,0,0.11,Matches
37,Jorge Araúz,boBOL,GK,Oriente Petrolero,30-092,1995,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
38,Jhojan Arce pari,boBOL,,Nacional Potosí,19-159,2006,7,6,540,6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
39,Santiago Arce,boBOL,MF,San Antonio Bulo Bulo,25-016,2000,6,5,405,4.5,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
40,Raúl Ardaya,boBOL,MF,ABB,26-294,1998,6,1,124,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
41,Fernando Arismendi,uyURU,MF,GV San José,34-076,1991,9,5,518,5.8,0,1,1,0,0,0,2,0,0,0.17,0.17,0,0.17,Matches
