Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
1,Abner,brBRA,DF,Juventude,21-057,2004,6,5,495,5.5,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,3,4,1,0,0.18,0.18,0,0.18,0.02,0.03,0.05,0.02,0.05,Matches
2,Nicolás Acevedo,uyURU,"MF,DF",Bahia,26-062,1999,7,2,299,3.3,0,0,0,0,0,0,1,0,0,0,0.1,0.2,7,20,2,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,Matches
3,Adson,brBRA,"FW,MF",Vasco da Gama,24-252,2000,10,0,210,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,6,12,17,0,0,0,0,0,0.05,0.1,0.15,0.05,0.15,Matches
4,Braian Aguirre,arARG,DF,Internacional,24-322,2000,11,11,978,10.9,1,0,1,1,0,0,2,0,0.3,0.3,0.5,0.8,17,54,60,0.09,0,0.09,0.09,0.09,0.03,0.04,0.07,0.03,0.07,Matches
5,Carlos Alberto,brBRA,"FW,MF",Sport Recife,23-062,2002,9,4,330,3.7,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,5,9,20,0,0,0,0,0,0.14,0.02,0.15,0.14,0.15,Matches
6,Yuri Alberto,brBRA,FW,Corinthians,24-089,2001,10,8,726,8.1,5,1,6,4,1,1,2,0,4,3.2,0.9,4.1,11,10,49,0.62,0.12,0.74,0.5,0.62,0.5,0.11,0.61,0.4,0.51,Matches
7,José Aldo,brBRA,MF,Mirassol,26-325,1998,9,5,468,5.2,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.7,3,37,12,0,0,0,0,0,0.05,0.08,0.13,0.05,0.13,Matches
8,Caio Alexandre,brBRA,MF,Bahia,26-111,1999,10,10,741,8.2,0,1,1,0,0,0,4,0,0.2,0.2,1,1.2,6,57,10,0,0.12,0.12,0,0.12,0.02,0.13,0.15,0.02,0.15,Matches
9,Matheus Alexandre,brBRA,DF,Sport Recife,26-069,1999,4,2,177,2,0,0,0,0,0,0,3,0,0,0,0,0,4,8,7,0,0,0,0,0,0,0,0,0,0,Matches
10,Alisson,brBRA,MF,São Paulo,31-355,1993,11,11,928,10.3,0,1,1,0,0,0,3,0,0.4,0.4,0.3,0.6,13,57,5,0,0.1,0.1,0,0.1,0.04,0.03,0.06,0.04,0.06,Matches
11,Allan,brBRA,MF,Flamengo,28-104,1997,5,2,120,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,11,0,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,Matches
12,Allan,brBRA,"DF,MF",Palmeiras,21-057,2004,6,2,184,2,1,0,1,1,0,0,0,0,0,0,0.2,0.2,4,6,12,0.49,0,0.49,0.49,0.49,0.02,0.1,0.12,0.02,0.12,Matches
13,Allan,brBRA,"MF,FW",Botafogo (RJ),34-158,1991,5,2,194,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,0,7,10,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06,Matches
14,Allanzinho,brBRA,"MF,FW",Fortaleza,25-072,2000,3,1,111,1.2,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,6,1,12,0,0.81,0.81,0,0.81,0.06,0.27,0.33,0.06,0.33,Matches
15,Júnior Alonso,pyPAR,DF,Atlético Mineiro,32-126,1993,12,12,"1,012",11.2,0,1,1,0,0,0,2,0,0.3,0.3,0.1,0.4,11,63,7,0,0.09,0.09,0,0.09,0.02,0.01,0.04,0.02,0.04,Matches
16,Matheus Alves,brBRA,"MF,FW",São Paulo,20-102,2005,8,4,371,4.1,0,1,1,0,0,0,3,0,0.3,0.3,0.7,1,10,12,17,0,0.24,0.24,0,0.24,0.08,0.17,0.25,0.08,0.25,Matches
17,Francis Amuzu,beBEL,FW,Grêmio,25-296,1999,8,4,396,4.4,1,0,1,1,0,0,2,0,0.6,0.6,0.9,1.4,23,12,34,0.23,0,0.23,0.23,0.23,0.13,0.19,0.32,0.13,0.32,Matches
18,Felipe Anderson,brBRA,"DF,MF",Palmeiras,32-061,1993,8,6,439,4.9,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,10,18,25,0,0,0,0,0,0.1,0.04,0.14,0.1,0.14,Matches
19,Kervin Andrade,veVEN,"FW,MF",Fortaleza,20-063,2005,5,0,85,0.9,0,1,1,0,0,0,1,0,0.3,0.3,0.4,0.7,7,3,15,0,1.06,1.06,0,1.06,0.37,0.4,0.77,0.37,0.77,Matches
20,José Andrés Martínez,veVEN,MF,Corinthians,30-312,1994,8,4,431,4.8,0,1,1,0,0,0,4,0,0.1,0.1,0.6,0.7,6,18,23,0,0.21,0.21,0,0.21,0.03,0.13,0.16,0.03,0.16,Matches
21,Wilker Ángel,veVEN,DF,Juventude,32-089,1993,5,4,362,4,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,0,11,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
22,Fabrizio Angileri,arARG,DF,Corinthians,31-092,1994,7,6,566,6.3,0,0,0,0,0,0,1,0,0,0,0.1,0.1,13,35,20,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
23,Anthoni,brBRA,GK,Internacional,23-143,2002,12,11,"1,035",11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Marcos Antônio,brBRA,MF,São Paulo,25-002,2000,8,7,525,5.8,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,7,22,12,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
25,Guilherme Arana,brBRA,DF,Atlético Mineiro,28-062,1997,4,4,268,3,0,0,0,0,0,0,1,0,0.6,0.6,1,1.6,14,23,28,0,0,0,0,0,0.21,0.32,0.53,0.21,0.53,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Luiz Araújo,brBRA,"FW,MF",Flamengo,29-013,1996,10,4,488,5.4,2,1,3,2,0,0,0,0,1,1,1.3,2.3,16,19,34,0.37,0.18,0.55,0.37,0.55,0.18,0.25,0.43,0.18,0.43,Matches
27,Matheus Araújo,brBRA,"MF,FW",Ceará,23-024,2002,7,1,184,2,1,1,2,1,0,0,0,0,0.5,0.5,0.5,1,7,9,14,0.49,0.49,0.98,0.49,0.98,0.25,0.26,0.51,0.25,0.51,Matches
28,Michel Araujo,uyURU,MF,Bahia,28-260,1996,5,1,154,1.7,2,0,2,2,0,0,0,0,0.4,0.4,0.1,0.5,4,10,9,1.17,0,1.17,1.17,1.17,0.23,0.07,0.3,0.23,0.3,Matches
29,Alexander Aravena,clCHI,"MF,FW",Grêmio,22-282,2002,6,1,168,1.9,1,0,1,1,0,0,1,0,0.9,0.9,0.7,1.6,4,2,10,0.54,0,0.54,0.54,0.54,0.49,0.36,0.85,0.49,0.85,Matches
30,Robert Arboleda,ecECU,DF,São Paulo,33-236,1991,7,7,630,7,1,0,1,1,0,0,2,0,1.1,1.1,0,1.1,1,8,0,0.14,0,0.14,0.14,0.14,0.15,0,0.15,0.15,0.15,Matches
31,Lucas Arcanjo,brBRA,GK,Vitória,26-311,1998,11,11,990,11,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
32,Matias Arezo,uyURU,FW,Grêmio,22-206,2002,7,2,209,2.3,1,1,2,1,0,0,1,0,0.9,0.9,0.7,1.7,4,3,16,0.43,0.43,0.86,0.43,0.86,0.41,0.32,0.73,0.41,0.73,Matches
33,Jhon Arias,coCOL,FW,Fluminense,27-267,1997,11,11,989,11,1,4,5,0,1,1,1,0,2,1.3,2.4,3.6,42,50,86,0.09,0.36,0.46,0,0.36,0.19,0.22,0.4,0.11,0.33,Matches
34,Santiago Arias,coCOL,DF,Bahia,33-153,1992,5,1,119,1.3,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,3,4,14,0,0,0,0,0,0.14,0.03,0.17,0.14,0.17,Matches
35,Arthur,brBRA,FW,Sport Recife,22-095,2003,6,1,200,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,1,1,11,0,0,0,0,0,0.14,0.13,0.27,0.14,0.27,Matches
36,Artur,brBRA,"FW,MF",Botafogo (RJ),27-120,1998,10,9,777,8.6,2,3,5,2,0,0,1,0,1.9,1.9,0.7,2.5,32,31,83,0.23,0.35,0.58,0.23,0.58,0.22,0.08,0.29,0.22,0.29,Matches
37,Rodrigo Atencio,arARG,"FW,MF",Sport Recife,22-350,2002,6,1,200,2.2,0,0,0,0,0,0,1,0,0.6,0.6,0.3,0.8,3,12,22,0,0,0,0,0,0.26,0.12,0.38,0.26,0.38,Matches
38,Loide Augusto,aoANG,"FW,MF",Vasco da Gama,25-109,2000,8,2,176,2,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.5,14,5,27,0,0,0,0,0,0.19,0.08,0.28,0.19,0.28,Matches
39,Leo Augusto Pereira,brBRA,"FW,MF",Vitória,24-351,2000,6,0,166,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,0,16,0,0,0,0,0,0.06,0.05,0.11,0.06,0.11,Matches
40,Renato Augusto,brBRA,"MF,FW",Fluminense,37-127,1988,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Matches
41,Gastón Ávila,arARG,DF,Fortaleza,23-258,2001,3,2,193,2.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,10,3,0,0,0,0,0,0.02,0.03,0.06,0.02,0.06,Matches
42,Aylon,brBRA,FW,Ceará,33-069,1992,6,3,222,2.5,1,0,1,1,0,0,0,0,1.7,1.7,0,1.7,3,7,17,0.41,0,0.41,0.41,0.41,0.67,0.01,0.67,0.67,0.67,Matches
43,Matheus Babi,brBRA,FW,Juventude,27-332,1997,5,1,108,1.2,1,0,1,1,0,0,0,0,1.3,1.3,0.1,1.4,0,1,7,0.83,0,0.83,0.83,0.83,1.08,0.06,1.14,1.08,1.14,Matches
44,Matheus Bahia,brBRA,DF,Ceará,25-308,1999,7,7,619,6.9,0,1,1,0,0,0,2,0,0.1,0.1,0.7,0.8,6,16,31,0,0.15,0.15,0,0.15,0.02,0.11,0.12,0.02,0.12,Matches
45,Gabriel Baralhas,brBRA,"MF,DF",Vitória,26-248,1998,10,8,714,7.9,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,4,31,13,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05,Matches
46,Danilo Barbosa,brBRA,"DF,MF",Botafogo (RJ),29-107,1996,3,0,39,0.4,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
47,Diogo Barbosa,brBRA,"DF,FW",Fortaleza,32-302,1992,5,4,307,3.4,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.4,4,7,17,0.29,0,0.29,0.29,0.29,0.07,0.06,0.13,0.07,0.13,Matches
48,Gabriel Barbosa,brBRA,"FW,MF",Cruzeiro,28-289,1996,9,3,313,3.5,2,2,4,2,0,1,0,0,1.5,0.7,0.8,1.5,0,9,12,0.58,0.58,1.15,0.58,1.15,0.43,0.24,0.67,0.2,0.44,Matches
49,Lucas Barbosa,brBRA,FW,RB Bragantino,24-113,2001,11,9,645,7.2,0,2,2,0,0,0,3,1,1.2,1.2,0.3,1.5,12,13,43,0,0.28,0.28,0,0.28,0.17,0.04,0.2,0.17,0.2,Matches
50,Alexander Barboza,arARG,DF,Botafogo (RJ),30-091,1995,5,5,450,5,0,0,0,0,0,0,3,0,0,0,0,0,8,23,2,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
