Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
1,Diogo Abreu,ptPOR,MF,Loko Plovdiv,21,2003,12,3,471,5.2,1,0,1,1,0,0,3,0,0.19,0,0.19,0.19,0.19,Matches
2,Christopher Acheampong,ghGHA,DF,CSKA 1948,24,2000,12,12,"1,001",11.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
3,Martin Achkov,bgBUL,DF,Botev Vratsa,25,1999,26,24,"2,018",22.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
4,Manny Achol,ssSSD,MF,Septemvri Sofia,24,1999,11,4,451,5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
5,Donaldo Açka,alALB,DF,Lokomotiv Sofia,26,1997,17,15,"1,306",14.5,0,0,0,0,0,0,7,1,0,0,0,0,0,Matches
6,Ahmed Ahmedov,bgBUL,FW,FC Spartak Varna,29,1995,19,19,"1,634",18.2,16,1,17,11,5,5,1,0,0.88,0.06,0.94,0.61,0.66,Matches
7,Oktay Ahmedov Hamdiev,bgBUL,FW,PFC Hebar Pazardzhik,24,2000,12,9,628,7,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
8,Hamza Ait Allal,maMAR,MF,Botev Vratsa,23,2001,14,14,"1,224",13.6,1,0,1,1,0,0,5,0,0.07,0,0.07,0.07,0.07,Matches
9,Burak Akandzha,bgBUL,MF,Arda,15,2008,3,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
10,Gideon Akawa,ghGHA,MF,FC Spartak Varna,23,2000,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
11,Samuel Akere,ngNGA,FW,Botev Plovdiv,20,2004,27,21,"1,717",19.1,4,0,4,4,0,0,4,0,0.21,0,0.21,0.21,0.21,Matches
12,Özgur Aksaka,,MF,Arda,21,2003,15,5,409,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
13,Madeno Albenas,frFRA,DF,CSKA 1948,22,2002,2,2,135,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
14,Aldair,ptPOR,DF,Levski Sofia,24,1999,35,32,"2,742",30.5,3,0,3,3,0,0,5,0,0.1,0,0.1,0.1,0.1,Matches
15,Aleksandar Aleksandrov,bgBUL,FW,FC Spartak Varna,18,2005,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
16,Denislav Aleksandrov,bgBUL,MF,Slavia Sofia,27,1997,35,26,"2,129",23.7,4,0,4,4,0,0,3,0,0.17,0,0.17,0.17,0.17,Matches
17,Simeon Aleksandrov,bgBUL,FW,CSKA 1948,20,2003,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Alfonso,mzMOZ,"DF,MF",Septemvri Sofia,24,1999,21,10,"1,035",11.5,2,0,2,2,0,0,5,0,0.17,0,0.17,0.17,0.17,Matches
19,Carlos Algarra,esESP,MF,Beroe,24,2000,33,30,"2,766",30.7,0,0,0,0,0,0,10,0,0,0,0,0,0,Matches
20,Dzhuinet Ali,bgBUL,DF,Lokomotiv Sofia,29,1994,13,3,379,4.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
21,Dzhuinet Ali,bgBUL,DF,FK Levski 2005,29,1994,17,12,"1,086",12.1,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
22,Efe Ali,bgBUL,MF,Loko Plovdiv,21,2003,19,10,902,10,3,0,3,3,0,0,4,1,0.3,0,0.3,0.3,0.3,Matches
23,Saturnin Allagbé,bjBEN,GK,Botev Vratsa,30,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Dinis Almeida,ptPOR,DF,Ludogorets,29,1995,27,25,"2,249",25,2,0,2,2,0,0,1,0,0.08,0,0.08,0.08,0.08,Matches
25,Imanol Alonso,esESP,MF,FK Levski 2005,22,2001,13,6,640,7.1,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
