Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
1,Jalal Abdulai,ghGHA,FW,Molde,20-161,2005,5,3,287,3.2,1,0,1,1,0,0,2,0,0.31,0,0.31,0.31,0.31,Matches
2,Ayoub Aleesami,noNOR,DF,KFUM Oslo,29-126,1996,9,5,518,5.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
3,Haitam Aleesami,noNOR,DF,Bodø/Glimt,33-319,1991,8,3,302,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Pål Alexander Kirkevold,noNOR,FW,HamKam,34-217,1990,6,1,170,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
5,Ruben Alte,noNOR,MF,Kristiansund,25-107,2000,11,11,951,10.6,2,1,3,2,0,0,2,0,0.19,0.09,0.28,0.19,0.28,Matches
6,Leander Alvheim,noNOR,FW,Kristiansund,20-273,2004,5,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Martin Alvsaker,noNOR,MF,Haugesund,20-132,2005,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Fidel Ambina,cmCMR,MF,Vålerenga,23-210,2001,10,10,885,9.8,1,3,4,1,0,0,3,0,0.1,0.31,0.41,0.1,0.41,Matches
9,Isak Amundsen,noNOR,DF,Molde,25-244,1999,8,6,564,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
10,Fredrik André Bjørkan,noNOR,DF,Bodø/Glimt,26-298,1998,8,8,646,7.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
11,Tore André Sørås,noNOR,MF,HamKam,26-362,1998,9,9,759,8.4,1,0,1,1,0,0,1,0,0.12,0,0.12,0.12,0.12,Matches
12,Markus Andreas Kaasa,noNOR,MF,Molde,27-335,1997,2,1,116,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Kent-Are Antonsen,noNOR,MF,Tromsø,30-123,1995,9,6,553,6.1,1,0,1,1,0,0,1,0,0.16,0,0.16,0.16,0.16,Matches
14,Fredrik Ardraa,noNOR,MF,Strømsgodset,18-251,2006,9,3,437,4.9,1,1,2,1,0,0,1,0,0.21,0.21,0.41,0.21,0.41,Matches
15,Viðar Ari Jónsson,isISL,DF,HamKam,31-097,1994,8,3,341,3.8,1,0,1,1,0,0,0,0,0.26,0,0.26,0.26,0.26,Matches
16,Eggert Aron Guðmundsson,isISL,MF,Brann,21-127,2004,11,10,828,9.2,2,2,4,2,0,0,0,0,0.22,0.22,0.43,0.22,0.43,Matches
17,Kristoffer Askildsen,noNOR,MF,Viking,24-157,2001,9,1,193,2.1,1,1,2,1,0,0,1,0,0.47,0.47,0.93,0.47,0.93,Matches
18,Sondre Auklend,noNOR,MF,Bodø/Glimt,22-005,2003,3,0,69,0.8,0,1,1,0,0,0,0,0,0,1.3,1.3,0,1.3,Matches
19,Vetle Auklend,noNOR,MF,Viking,20-085,2005,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Edvin Austbø,noNOR,MF,Viking,20-045,2005,12,12,881,9.8,3,2,5,3,0,0,1,0,0.31,0.2,0.51,0.31,0.51,Matches
21,Johan Bakke,noNOR,MF,Molde,21-075,2004,2,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Ludvig Begby,noNOR,DF,Fredrikstad,28-075,1997,3,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
23,Joe Bell,nzNZL,MF,Viking,26-049,1999,12,12,"1,077",12,1,3,4,1,0,0,2,0,0.08,0.25,0.33,0.08,0.33,Matches
24,Patrick Berg,noNOR,MF,Bodø/Glimt,27-203,1997,8,8,720,8,0,3,3,0,0,0,1,0,0,0.37,0.37,0,0.37,Matches
25,Veton Berisha,noNOR,FW,Molde,31-063,1994,6,2,255,2.8,3,0,3,2,1,2,0,1,1.06,0,1.06,0.71,0.71,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Bendik Berntsen,noNOR,FW,Sandefjord,18-059,2007,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
27,Parfait Bizoza,biBDI,"DF,MF",Haugesund,26-104,1999,10,7,574,6.4,0,1,1,0,0,0,0,0,0,0.16,0.16,0,0.16,Matches
28,Henrik Bjørdal,noNOR,"MF,FW",Vålerenga,28-131,1997,6,6,535,5.9,2,2,4,2,0,0,1,0,0.34,0.34,0.67,0.34,0.67,Matches
29,Martin Bjørnbak,noNOR,DF,Molde,33-085,1992,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Sondre Bjørshol,noNOR,DF,Viking,31-046,1994,4,0,44,0.5,1,0,1,1,0,0,0,0,2.05,0,2.05,2.05,2.05,Matches
31,Jan de Boer,nlNED,GK,Bryne,25-026,2000,9,9,810,9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
32,Sanel Bojadzic,noNOR,FW,Bryne,26-229,1998,7,5,454,5,3,1,4,2,1,1,0,0,0.59,0.2,0.79,0.4,0.59,Matches
33,Anders Bondhus,noNOR,DF,Haugesund,19-362,2005,5,1,292,3.2,0,1,1,0,0,0,0,0,0,0.31,0.31,0,0.31,Matches
34,Christian Borchgrevink,noNOR,DF,Vålerenga,26-035,1999,2,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
35,Muamer Brajanac,dkDEN,FW,Vålerenga,24-120,2001,10,10,723,8,1,0,1,1,0,0,1,0,0.12,0,0.12,0.12,0.12,Matches
36,Daniel Braut,noNOR,MF,Tromsø,20-045,2005,8,0,81,0.9,0,2,2,0,0,0,0,0,0,2.22,2.22,0,2.22,Matches
37,Emil Breivik,noNOR,MF,Molde,25-004,2000,9,9,787,8.7,2,0,2,2,0,0,3,0,0.23,0,0.23,0.23,0.23,Matches
38,Marius Broholm,noNOR,"FW,MF",Rosenborg,20-171,2004,11,11,947,10.5,5,1,6,4,1,1,3,0,0.48,0.1,0.57,0.38,0.48,Matches
39,Sondre Brunstad Fet,noNOR,MF,Bodø/Glimt,28-149,1997,4,0,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Anders Bærtelsen,dkDEN,DF,Viking,25-037,2000,12,12,986,11,0,1,1,0,0,0,1,0,0,0.09,0.09,0,0.09,Matches
