Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
1,Sahal Abdul Samad,inIND,MF,Mohun Bagan,27,1997,17,8,680,7.6,0,1,1,0,0,0,2,0,0,0.13,0.13,0,0.13,Matches
2,Ayush Adhikari,inIND,MF,Hyderabad FC,24,2000,20,8,807,9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
3,Joseph Adjei,ghGHA,DF,Mohammedan,28,1995,6,5,432,4.8,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
4,Mohammed Aimen,inIND,MF,Kerala Blasters,21,2003,10,5,396,4.4,0,3,3,0,0,0,1,0,0,0.68,0.68,0,0.68,Matches
5,Alaeddine Ajaraie,maMAR,"FW,MF",NorthEast Utd,31,1993,24,23,"2,055",22.8,23,7,30,21,2,4,2,0,1.01,0.31,1.31,0.92,1.23,Matches
6,Asheer Akhtar,inIND,DF,NorthEast Utd,29,1994,21,21,"1,881",20.9,1,0,1,1,0,0,4,1,0.05,0,0.05,0.05,0.05,Matches
7,Andrei Alba,brBRA,MF,Hyderabad FC,29,1995,20,20,"1,716",19.1,3,1,4,2,1,2,3,0,0.16,0.05,0.21,0.1,0.16,Matches
8,Alberto,esESP,DF,Mohun Bagan,31,1992,19,19,"1,700",18.9,5,1,6,5,0,0,6,0,0.26,0.05,0.32,0.26,0.32,Matches
9,Néstor Albiach,esESP,"MF,FW",NorthEast Utd,31,1992,24,16,"1,411",15.7,6,1,7,6,0,0,1,0,0.38,0.06,0.45,0.38,0.45,Matches
10,Tom Aldred,sctSCO,DF,Mohun Bagan,33,1990,23,22,"1,965",21.8,2,1,3,2,0,0,5,0,0.09,0.05,0.14,0.09,0.14,Matches
11,Anwar Ali,inIND,"DF,MF",East Bengal,23,2000,18,17,"1,488",16.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
12,Mohammed Ali Bemammer,maMAR,MF,NorthEast Utd,34,1989,21,20,"1,735",19.3,3,1,4,3,0,0,9,1,0.16,0.05,0.21,0.16,0.21,Matches
13,Samad Ali Mallick,inIND,DF,Mohammedan,29,1994,6,2,255,2.8,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
14,Rahim Ali,inIND,"DF,MF",Odisha,24,2000,22,12,"1,253",13.9,2,0,2,2,0,0,2,0,0.14,0,0.14,0.14,0.14,Matches
15,CK Aman,inIND,FW,East Bengal,21,2003,5,0,60,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
16,Marc Andre Schmerböck,atAUT,"MF,FW",Mohammedan,30,1994,6,2,211,2.3,1,0,1,1,0,0,0,0,0.43,0,0.43,0.43,0.43,Matches
17,Wahengbam Angousana Luwang,inIND,MF,Mohammedan,28,1996,9,2,190,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
18,Aniket Anil Jadhav,inIND,MF,Jamshedpur,24,2000,7,1,217,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
19,Lalengmawia Apuia,inIND,MF,Mohun Bagan,23,2000,20,20,"1,760",19.6,0,0,0,0,0,0,7,0,0,0,0,0,0,Matches
20,Mohammed Arshaf,inIND,MF,NorthEast Utd,20,2004,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Melroy Assisi,inIND,DF,Punjab,25,1998,8,5,388,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Leon Augustine,inIND,"DF,MF",Punjab,25,1998,20,9,"1,024",11.4,1,0,1,1,0,0,4,0,0.09,0,0.09,0.09,0.09,Matches
23,Mohammed Azhar,inIND,MF,Kerala Blasters,21,2003,6,1,102,1.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
24,Mushaga Bakenga,noNOR,FW,Punjab,31,1992,10,3,374,4.2,1,1,2,1,0,0,1,0,0.24,0.24,0.48,0.24,0.48,Matches
25,Sayan Banerjee,inIND,MF,East Bengal,21,2003,8,0,70,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Nikhil Barla,inIND,"DF,MF",Jamshedpur,20,2003,19,11,"1,112",12.4,1,1,2,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,Matches
27,Vincy Barretto,inIND,MF,Chennaiyin,24,1999,15,4,430,4.8,1,0,1,1,0,0,1,0,0.21,0,0.21,0.21,0.21,Matches
28,Saurabh Bhanwala,inIND,DF,Mohun Bagan,24,1999,3,1,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
29,Suhail Bhat,inIND,FW,Mohun Bagan,19,2005,11,1,131,1.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
30,Hardik Bhatt,inIND,DF,Mumbai City,27,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
