Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
1,Leroy Abanda,frFRA,MF,Suwon FC,25-008,2000,5,3,170,1.9,0,1,1,0,0,0,0,0,0,0.53,0.53,0,0.53,Matches
2,Bismark Adjei-Boateng,ghGHA,MF,Jeonbuk Hyundai,31-036,1994,4,2,202,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
3,Anderson,brBRA,"MF,FW",Suwon FC,26-334,1998,18,16,"1,555",17.3,5,5,10,5,0,1,0,0,0.29,0.29,0.58,0.29,0.58,Matches
4,Yazan Al Arab,joJOR,DF,FC Seoul,29-135,1996,17,17,"1,530",17,1,1,2,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,Matches
5,Jasir Asani,alALB,"MF,FW",Gwangju FC,30-027,1995,15,10,"1,025",11.4,4,0,4,3,1,2,1,0,0.35,0,0.35,0.26,0.26,Matches
6,Jonathan Aspropotamitis,auAUS,DF,Pohang,29-008,1996,4,2,209,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Romário Baldé,gwGNB,"FW,MF",Gangwon,28-172,1996,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Yoon Bit-garam,krKOR,MF,Suwon FC,35-039,1990,7,6,585,6.5,1,0,1,1,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches
9,Kim Bo-kyung,krKOR,"MF,FW",FC Anyang,35-252,1989,7,3,305,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
10,Victor Bobsin,brBRA,MF,Daejeon Citizen FC,25-154,2000,13,12,"1,125",12.5,1,0,1,1,0,0,3,0,0.08,0,0.08,0.08,0.08,Matches
11,Darijan Bojanić,seSWE,MF,Ulsan HD,30-169,1994,10,8,776,8.6,2,2,4,2,0,0,0,0,0.23,0.23,0.46,0.23,0.46,Matches
12,Kim Bongsoo,krKOR,MF,Sangju Sangmu,25-171,1999,15,15,"1,349",15,0,2,2,0,0,0,0,0,0,0.13,0.13,0,0.13,Matches
13,Goo Booncheul,krKOR,MF,Gangwon,25-247,1999,9,9,555,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Song Bumkeun,krKOR,GK,Jeonbuk Hyundai,27-243,1997,18,18,"1,620",18,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
15,Hwang Byeonggeun,krKOR,GK,FC Anyang,31-001,1994,4,3,277,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
16,Jeon Byeonggwan,krKOR,MF,Sangju Sangmu,22-217,2002,1,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
17,Jeon Byeonggwan,krKOR,"FW,MF",Jeonbuk Hyundai,22-217,2002,7,5,430,4.8,1,2,3,1,0,0,1,0,0.21,0.42,0.63,0.21,0.63,Matches
18,Choe Byunchan,krKOR,"FW,MF",Gangwon,29-072,1996,10,7,431,4.8,1,0,1,1,0,0,1,0,0.21,0,0.21,0.21,0.21,Matches
19,Choi Byungwook,krKOR,FW,Jeju United FC,20-065,2005,14,2,293,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Aaron Calver,auAUS,DF,Daejeon Citizen FC,29-154,1996,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
