Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
1,Saminu Abdullahi,ngNGA,MF,FC Juárez,23,2001,3,0,48,0.5,0,1,1,0,0,0,1,0,0,0,0.1,0.1,1,4,4,0,1.87,1.87,0,1.87,0,0.18,0.18,0,0.18,Matches
2,José Abella,mxMEX,DF,Santos,30,1994,17,17,"1,510",16.8,0,2,2,0,0,0,2,0,0.1,0.1,1.7,1.8,9,70,55,0,0.12,0.12,0,0.12,0.01,0.1,0.11,0.01,0.11,Matches
3,José Abella,mxMEX,DF,FC Juárez,30,1994,17,11,"1,014",11.3,0,1,1,0,0,0,3,0,0.2,0.2,0.3,0.5,5,34,10,0,0.09,0.09,0,0.09,0.02,0.03,0.05,0.02,0.05,Matches
4,Diego Abitia,mxMEX,FW,Atlético,21,2003,11,3,320,3.6,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,7,2,15,0,0,0,0,0,0.11,0.12,0.23,0.11,0.23,Matches
5,Carlos Acevedo,mxMEX,GK,Santos,28,1996,33,33,"2,970",33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Alonso Aceves,mxMEX,DF,Pachuca,23,2001,17,14,"1,334",14.8,0,0,0,0,0,0,2,0,0.4,0.4,0.6,1,11,51,22,0,0,0,0,0,0.03,0.04,0.07,0.03,0.07,Matches
7,Gilberto Adame,mxMEX,"DF,MF",Mazatlán,19,2004,12,3,417,4.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,17,13,33,0,0,0,0,0,0.05,0.05,0.1,0.05,0.1,Matches
8,Sergio Aguayo,usUSA,FW,Pachuca,21,2002,6,0,162,1.8,1,0,1,1,0,0,1,0,0.6,0.6,0.5,1.1,2,3,10,0.56,0,0.56,0.56,0.56,0.36,0.25,0.61,0.36,0.61,Matches
9,Eduardo Águila,mxMEX,DF,Atlético,22,2002,31,30,"2,701",30,0,0,0,0,0,0,4,0,1.1,1.1,0.1,1.2,14,64,2,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
10,Eduardo Aguirre,mxMEX,"FW,MF",Atlas,25,1998,30,25,"2,195",24.4,8,3,11,8,0,0,4,0,6.7,6.7,2.3,9,19,47,113,0.33,0.12,0.45,0.33,0.45,0.27,0.09,0.37,0.27,0.37,Matches
