Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
1,Keyliane Abdallah,frFRA,FW,Marseille,18,2006,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Yunis Abdelhamid,maMAR,DF,Saint-Étienne,36,1987,16,11,"1,033",11.5,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
3,Himad Abdelli,dzALG,"MF,FW",Angers,24,1999,32,32,"2,842",31.6,6,1,7,3,3,4,4,0,6.4,3.2,3.2,6.4,107,207,111,0.19,0.03,0.22,0.1,0.13,0.2,0.1,0.3,0.1,0.2,Matches
4,Mohamed Abdelmoneim,egEGY,DF,Nice,25,1999,12,10,855,9.5,0,0,0,0,0,0,2,0,0,0,0,0,6,52,5,0,0,0,0,0,0,0,0,0,0,Matches
5,Ali Abdi,tnTUN,"DF,MF",Nice,30,1993,25,17,"1,393",15.5,5,2,7,5,0,0,2,0,4.3,4.3,1.9,6.2,35,42,101,0.32,0.13,0.45,0.32,0.45,0.28,0.12,0.4,0.28,0.4,Matches
6,Matthis Abline,frFRA,FW,Nantes,21,2003,34,33,"2,768",30.8,9,2,11,8,1,1,3,0,8.5,7.7,3.8,11.5,75,48,169,0.29,0.07,0.36,0.26,0.33,0.28,0.12,0.4,0.25,0.37,Matches
7,Abner,brBRA,DF,Lyon,24,2000,19,12,"1,090",12.1,1,1,2,1,0,0,1,0,0.6,0.6,1.1,1.7,31,66,55,0.08,0.08,0.17,0.08,0.17,0.05,0.09,0.14,0.05,0.14,Matches
8,Zakaria Aboukhlal,maMAR,"MF,FW",Toulouse,24,2000,26,22,"1,901",21.1,7,2,9,6,1,2,4,0,10.2,8.6,1.6,10.2,34,22,164,0.33,0.09,0.43,0.28,0.38,0.48,0.07,0.56,0.41,0.48,Matches
9,Akor Adams,ngNGA,FW,Montpellier,24,2000,15,13,"1,075",11.9,3,1,4,3,0,0,2,0,4.3,4.3,1,5.3,11,6,45,0.25,0.08,0.33,0.25,0.33,0.36,0.08,0.44,0.36,0.44,Matches
10,Martin Adeline,frFRA,MF,Reims,20,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches
11,Adryelson,brBRA,DF,Lyon,26,1998,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
12,Emmanuel Agbadou,ciCIV,DF,Reims,27,1997,14,14,"1,260",14,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.8,10,77,0,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,Matches
13,Jeremy Agbonifo,seSWE,"FW,MF",Lens,18,2005,8,1,300,3.3,1,0,1,1,0,0,1,0,0.7,0.7,0.2,0.9,13,6,36,0.3,0,0.3,0.3,0.3,0.21,0.06,0.26,0.21,0.26,Matches
14,Ruben Aguilar,frFRA,"DF,MF",Lens,31,1993,16,13,"1,124",12.5,1,2,3,1,0,0,4,0,0.8,0.8,1.9,2.7,32,74,101,0.08,0.16,0.24,0.08,0.24,0.06,0.15,0.21,0.06,0.21,Matches
15,Naouirou Ahamada,frFRA,"MF,FW",Rennes,22,2002,3,0,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
