,,,,Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
1,Mohammad Abu Fani,ilISR,MF,Ferencváros,26,1998,26,14,"1,452",16.1,2,5,7,2,0,0,4,1,0.12,0.31,0.43,0.12,0.43,Matches
2,Elton Acolatse,nlNED,MF,Diósgyőr,29,1995,28,20,"1,898",21.1,6,7,13,6,0,0,5,1,0.28,0.33,0.62,0.28,0.62,Matches
3,Val Adedokun,ieIRL,DF,Diósgyőr,21,2003,3,1,143,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Áron Alaxai,huHUN,DF,Nyíregyháza,21,2003,30,28,"2,521",28.0,0,1,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04,Matches
5,Ladislav Almási,skSVK,FW,Zalaegerszeg,25,1999,11,3,403,4.5,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
6,Paul Anton,roROU,MF,Győr,33,1991,24,17,"1,539",17.1,1,3,4,0,1,1,4,0,0.06,0.18,0.23,0.00,0.18,Matches
7,Nemanja Antonov,rsSRB,"DF,MF",MTK Budapest,29,1995,14,10,815,9.1,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches
8,Slobodan Babić,rsSRB,FW,Nyíregyháza,24,2000,19,7,696,7.7,3,0,3,3,0,0,1,0,0.39,0.00,0.39,0.39,0.39,Matches
9,Bence Babos,huHUN,FW,Vidi,20,2004,3,0,62,0.7,1,0,1,1,0,0,0,0,1.45,0.00,1.45,1.45,1.45,Matches
10,Levente Babós,huHUN,DF,Újpest,20,2004,2,1,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Ákos Baki,huHUN,"DF,MF",Nyíregyháza,29,1994,10,9,812,9.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Sámuel Bakó,huHUN,FW,MTK Budapest,18,2006,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Balázs Bakti,huHUN,MF,Zalaegerszeg,19,2004,28,13,"1,289",14.3,1,3,4,1,0,0,4,0,0.07,0.21,0.28,0.07,0.28,Matches
14,Jádi Balázs,huHUN,MF,MTK Budapest,17,2007,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Balázs Balogh,huHUN,MF,Paks,34,1990,11,6,661,7.3,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches
16,Dávid Banai,huHUN,GK,Újpest,30,1994,4,2,279,3.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Kevin Bánáti,huHUN,MF,Győr,19,2005,19,12,977,10.9,1,1,2,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,Matches
18,Donát Bárány,huHUN,FW,Debrecen,23,2000,28,24,"2,095",23.3,13,1,14,12,1,1,2,0,0.56,0.04,0.60,0.52,0.56,Matches
19,Nimród Baranyai,huHUN,"MF,DF",Újpest,20,2003,4,3,213,2.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Bence Bárdos,huHUN,DF,Diósgyőr,26,1998,19,17,"1,531",17.0,3,0,3,3,0,0,3,0,0.18,0.00,0.18,0.18,0.18,Matches
21,Fortune Bassey,ngNGA,FW,Ferencváros,25,1998,2,1,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Bence Batik,huHUN,"DF,MF",Debrecen,30,1993,4,4,325,3.6,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
23,Bence Bedi,huHUN,MF,Vidi,27,1996,26,18,"1,437",16.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
24,Péter Beke,huHUN,FW,Nyíregyháza,23,2001,25,15,"1,373",15.3,6,2,8,6,0,1,2,0,0.39,0.13,0.52,0.39,0.52,Matches
25,Csaba Belényesi,huHUN,DF,Kecskemét,30,1994,32,32,"2,880",32.0,0,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Nadhir Benbouali,dzALG,FW,Győr,24,2000,24,22,"1,805",20.1,7,2,9,6,1,2,3,0,0.35,0.10,0.45,0.30,0.40,Matches
27,Barna Benczenleitner,huHUN,DF,Nyíregyháza,20,2003,10,3,369,4.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Domonkos Bene,huHUN,MF,MTK Budapest,21,2003,2,0,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
29,Péter Benkő,huHUN,MF,Diósgyőr,21,2003,5,1,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
30,Ágoston Bényei,huHUN,"MF,DF",Diósgyőr,21,2003,20,9,900,10.0,2,1,3,2,0,0,4,1,0.20,0.10,0.30,0.20,0.30,Matches
31,Ledio Beqja,alALB,MF,Győr,23,2001,4,1,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
32,Ilia Beriashvili,geGEO,DF,MTK Budapest,26,1998,20,19,"1,716",19.1,2,0,2,2,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches
33,Giorgi Beridze,geGEO,"MF,FW",Újpest,27,1997,13,9,794,8.8,2,0,2,2,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches
34,Balázs Bese,huHUN,GK,Nyíregyháza,25,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
35,Barnabás Bese,huHUN,"DF,MF",Újpest,30,1994,23,21,"1,883",20.9,2,3,5,2,0,0,3,0,0.10,0.14,0.24,0.10,0.24,Matches
36,Raul Bicalho,brBRA,DF,Ferencváros,25,1999,12,11,954,10.6,2,0,2,2,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches
37,Barnabás Bíró,huHUN,DF,Győr,19,2005,8,6,420,4.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Eneo Bitri,alALB,DF,Győr,27,1996,22,12,"1,148",12.8,5,1,6,5,0,0,5,0,0.39,0.08,0.47,0.39,0.47,Matches
39,Dávid Bobál,huHUN,DF,MTK Budapest,28,1995,5,3,281,3.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
40,Bertalan Bocskay,huHUN,MF,Kecskemét,22,2002,17,13,"1,198",13.3,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Dániel Böde,huHUN,FW,Paks,37,1986,32,8,"1,296",14.4,15,0,15,13,2,2,1,0,1.04,0.00,1.04,0.90,0.90,Matches
42,István Bognár,huHUN,MF,MTK Budapest,33,1991,29,28,"2,290",25.4,5,7,12,2,3,4,3,0,0.20,0.28,0.47,0.08,0.35,Matches
43,Deian Boldor,roROU,DF,Győr,29,1995,11,7,638,7.1,1,0,1,1,0,0,3,0,0.14,0.00,0.14,0.14,0.14,Matches
44,Kady Borges,brBRA,"MF,FW",Ferencváros,28,1996,13,10,760,8.4,2,2,4,2,0,0,4,1,0.24,0.24,0.47,0.24,0.47,Matches
45,Endre Botka,huHUN,DF,Kecskemét,29,1994,12,12,"1,028",11.4,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches
46,Endre Botka,huHUN,DF,Ferencváros,29,1994,5,3,251,2.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
47,Victor Braga,brBRA,MF,Debrecen,23,2001,10,2,273,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Fran Brodić,hrCRO,"FW,MF",Újpest,27,1997,31,30,"2,674",29.7,9,6,15,8,1,2,6,0,0.30,0.20,0.50,0.27,0.47,Matches
49,Claudiu Bumba,roROU,"MF,FW",Győr,30,1994,28,24,"2,210",24.6,9,6,15,9,0,1,1,0,0.37,0.24,0.61,0.37,0.61,Matches
50,Driton Camaj,meMNE,FW,Kecskemét,27,1997,16,11,998,11.1,4,1,5,2,2,2,2,0,0.36,0.09,0.45,0.18,0.27,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Henrik Castegren,seSWE,DF,Debrecen,28,1996,12,11,944,10.5,0,1,1,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,Matches
52,Bozhidar Chorbadzhiyski,bgBUL,DF,Diósgyőr,28,1995,21,17,"1,573",17.5,1,0,1,1,0,0,7,0,0.06,0.00,0.06,0.06,0.06,Matches
53,Tobias Christensen,noNOR,"MF,FW",Vidi,24,2000,6,5,432,4.8,0,1,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches
54,Aleksandar Ćirković,rsSRB,MF,Ferencváros,22,2001,5,1,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
55,Ibrahim Cissé,snSEN,DF,Ferencváros,28,1996,31,30,"2,675",29.7,1,2,3,1,0,0,1,0,0.03,0.07,0.10,0.03,0.10,Matches
56,Eldar Ćivić,baBIH,"DF,MF",Ferencváros,28,1996,20,17,"1,302",14.5,0,6,6,0,0,0,3,1,0.00,0.41,0.41,0.00,0.41,Matches
57,Lamin Colley,engENG,FW,Puskás,31,1993,31,27,"2,069",23.0,10,4,14,10,0,0,13,0,0.43,0.17,0.61,0.43,0.61,Matches
58,Pavlos Correa,cyCYP,DF,Nyíregyháza,26,1998,14,12,"1,177",13.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
59,Yohan Croizet,frFRA,FW,Zalaegerszeg,32,1992,27,22,"1,914",21.3,7,2,9,7,0,1,3,0,0.33,0.09,0.42,0.33,0.42,Matches
60,Adrián Csenterics,huHUN,GK,MTK Budapest,19,2004,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
61,Kevin Csoboth,huHUN,MF,Újpest,24,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
62,Dániel Csóka,huHUN,DF,Zalaegerszeg,24,2000,19,17,"1,537",17.1,1,0,1,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches
63,Dominik Csóka,huHUN,MF,Zalaegerszeg,20,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
64,Aron Csongvai,huHUN,MF,Vidi,23,2000,18,18,"1,620",18.0,1,3,4,1,0,0,5,0,0.06,0.17,0.22,0.06,0.22,Matches
65,András Csonka,huHUN,MF,Zalaegerszeg,24,2000,22,15,"1,236",13.7,0,1,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches
66,Dominik Csontos,huHUN,DF,Győr,21,2002,4,4,315,3.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
67,Zoltán Csucsánszky,huHUN,FW,MTK Budapest,17,2007,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
68,Marko Čubrilo,baBIH,DF,Zalaegerszeg,26,1998,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
69,Martin Dala,huHUN,GK,Vidi,20,2004,21,21,"1,890",21.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
70,Branislav Danilović,rsSRB,GK,Diósgyőr,36,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
71,Ronaldo Deaconu,roROU,MF,Nyíregyháza,27,1997,5,0,78,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
72,Ádám Décsy,huHUN,MF,Győr,17,2007,5,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
73,Márk Dékei,huHUN,"MF,FW",Újpest,21,2003,11,2,251,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Milán Demeter,huHUN,DF,Diósgyőr,19,2005,2,2,116,1.3,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
75,Patrik Demjén,huHUN,GK,MTK Budapest,26,1998,31,31,"2,790",31.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Adrián Dénes,huHUN,"FW,MF",Újpest,20,2004,16,6,660,7.3,1,0,1,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches
77,Csanad Denes,huHUN,"MF,FW",Zalaegerszeg,19,2004,32,30,"2,396",26.6,5,6,11,5,0,0,1,0,0.19,0.23,0.41,0.19,0.41,Matches
78,Zoltán Derekas,huHUN,MF,Kecskemét,25,1998,2,0,19,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
79,Mamady Diarra,mlMLI,"MF,FW",Győr,24,2000,20,2,540,6.0,2,2,4,2,0,0,1,0,0.33,0.33,0.67,0.33,0.67,Matches
80,Dénes Dibusz,huHUN,GK,Ferencváros,33,1990,27,27,"2,430",27.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
81,Brandon Domingues,frFRA,"MF,FW",Debrecen,24,2000,31,28,"2,459",27.3,12,2,14,12,0,1,9,1,0.44,0.07,0.51,0.44,0.51,Matches
82,Meldin Drešković,meMNE,DF,Debrecen,26,1998,16,14,"1,228",13.6,2,0,2,2,0,0,4,0,0.15,0.00,0.15,0.15,0.15,Matches
83,André Duarte,ptPOR,DF,Újpest,26,1997,29,28,"2,531",28.1,1,0,1,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,Matches
84,Laros Duarte,cvCPV,MF,Puskás,27,1997,24,14,"1,475",16.4,1,0,1,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches
85,Balázs Dzsudzsák,huHUN,"MF,FW",Debrecen,37,1986,32,20,"1,890",21.0,2,11,13,0,2,2,7,0,0.10,0.52,0.62,0.00,0.52,Matches
86,Bright Edomwonyi,ngNGA,FW,Diósgyőr,30,1994,30,24,"1,956",21.7,7,4,11,7,0,0,8,0,0.32,0.18,0.51,0.32,0.51,Matches
87,Márton Eppel,huHUN,FW,Nyíregyháza,32,1991,26,14,"1,233",13.7,4,0,4,3,1,1,4,0,0.29,0.00,0.29,0.22,0.22,Matches
88,Anderson Esiti,ngNGA,MF,Zalaegerszeg,30,1994,10,3,377,4.2,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
89,Stefanos Evangelou,grGRE,DF,Zalaegerszeg,26,1998,26,25,"2,206",24.5,0,1,1,0,0,0,8,0,0.00,0.04,0.04,0.00,0.04,Matches
90,Joel Fameyeh,ghGHA,FW,Puskás,27,1997,11,0,195,2.2,1,1,2,1,0,0,1,0,0.46,0.46,0.92,0.46,0.92,Matches
91,Balázs Farkas,huHUN,FW,Győr,22,2002,4,0,92,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
92,Bendegúz Farkas,huHUN,"MF,DF",Nyíregyháza,19,2004,13,12,914,10.2,0,1,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches
93,Artem Favorov,uaUKR,"MF,DF",Puskás,30,1994,27,22,"1,936",21.5,3,1,4,3,0,0,7,0,0.14,0.05,0.19,0.14,0.19,Matches
