,,,,Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
1,Ali Aarabi,,FW,Foolad,28,1996,24,18,"1,512",16.8,4,7,11,4,0,0,2,0,0.24,0.42,0.65,0.24,0.65,Matches
2,Amir Reza Mahmood Abadi,,FW,Chadormalu SC,29,1995,25,19,"1,711",19.0,2,3,5,1,1,1,1,0,0.11,0.16,0.26,0.05,0.21,Matches
3,Hossein Abarghouei,irIRN,MF,Kheybar,28,1996,27,26,"2,287",25.4,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches
4,Aram Abbasi,irIRN,DF,Esteghlal Khuz,30,1994,30,30,"2,699",30.0,1,1,2,1,0,0,2,1,0.03,0.03,0.07,0.03,0.07,Matches
5,Mohammad Abbasi,,MF,Kheybar,23,2000,11,8,643,7.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Mohammad Abbasi,,MF,Foolad,23,2000,9,5,406,4.5,0,1,1,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,Matches
7,Mohammadreza Abbasi,irIRN,MF,Nassaji,28,1996,13,12,952,10.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Mohammad Abbaszadeh,irIRN,FW,Nassaji,34,1990,3,0,33,0.4,1,0,1,1,0,0,0,0,2.73,0.00,2.73,2.73,2.73,Matches
9,Mohammad Abbaszadeh,irIRN,FW,Zob Ahan,34,1990,2,1,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Mehdi Abdi,,MF,Kheybar,35,1989,5,2,198,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Mehdi Abdighara,,FW,Malavan,25,1998,10,3,313,3.5,2,0,2,2,0,0,1,1,0.58,0.00,0.58,0.58,0.58,Matches
12,Mehdi Abdighara,,FW,Tractor Sazi,25,1998,2,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Moamel Abdulridha,iqIRQ,MF,Esteghlal Khuz,24,2000,11,5,457,5.1,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches
14,Mohammad Abshak,irIRN,MF,Esteghlal Khuz,37,1987,22,12,"1,034",11.5,0,0,0,0,0,0,4,2,0.00,0.00,0.00,0.00,0.00,Matches
15,Amirreza Afsardeh,,DF,Malavan,,,18,9,973,10.8,1,0,1,1,0,0,3,1,0.09,0.00,0.09,0.09,0.09,Matches
16,Maysam Aghaei,irIRN,MF,Aluminium Arak,34,1990,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Saeid Aghaei,irIRN,DF,Nassaji,29,1995,7,6,438,4.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Javad Aghaeipour,irIRN,FW,Sepahan,24,1999,21,9,969,10.8,3,0,3,3,0,0,2,0,0.28,0.00,0.28,0.28,0.28,Matches
19,Mohammad Aghajanpour,irIRN,MF,Kheybar,27,1997,11,10,909,10.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Aref Aghasi,irIRN,DF,Tractor Sazi,27,1997,30,30,"2,700",30.0,1,0,1,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,Matches
