,,,,Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
1,Gabriel Achilier,ecECU,DF,Orense,40-083,1985,13,13,"1,125",12.5,1,0,1,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches
2,Marcos Acosta,pyPAR,DF,Manta Fútbol Club,33-190,1991,7,7,583,6.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Ricardo Adé,htHAI,DF,LDU de Quito,35-025,1990,10,10,900,10.0,1,0,1,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches
4,Alan Aguirre,arARG,DF,Vinotinto,31-306,1993,12,10,904,10.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Darío Aimar,ecECU,DF,LDU de Quito,30-161,1995,3,3,270,3.0,1,0,1,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
6,Jordy Alcivar,ecECU,MF,Independiente,25-314,1999,10,7,616,6.8,0,1,1,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,Matches
7,Christian Alemán,ecECU,MF,Manta Fútbol Club,29-130,1996,15,12,"1,136",12.6,4,5,9,4,0,0,1,0,0.32,0.40,0.71,0.32,0.71,Matches
8,Gian Allala,uyURU,DF,LDU de Quito,28-149,1997,12,11,934,10.4,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches
9,Jorge Almagro,ecECU,MF,SD Aucas,24-121,2001,8,6,485,5.4,0,1,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches
10,Jostin Alman,ecECU,FW,Técnico Univ.,30-035,1995,2,0,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Fabrizio Almeida,arARG,MF,Manta Fútbol Club,23-243,2001,8,4,332,3.7,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
12,Mauricio Alonso,uyURU,MF,Mushuc Runa,31-123,1994,14,5,593,6.6,1,1,2,1,0,0,0,0,0.15,0.15,0.30,0.15,0.30,Matches
