Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
1,Leroy Abanda,frFRA,DF,OFI Crete,24,2000,11,2,308,3.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
2,Bilal Abdelrahman Zeeni,egEGY,"MF,FW",PAS Lamia,21,2003,10,2,359,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
3,Joel Abu Hanna,ilISR,DF,Levadiakos,26,1998,16,15,"1,270",14.1,0,0,0,0,0,0,7,0,0,0,0,0,0,Matches
4,Georgios Agapakis,grGRE,MF,Panetolikos,21,2002,7,2,230,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Oluwatobiloba Alagbe,ngNGA,"MF,DF",Asteras Tripoli,24,2000,29,21,"1,804",20,2,0,2,2,0,0,4,1,0.1,0,0.1,0.1,0.1,Matches
6,Migouel Alfarela,frFRA,FW,Kallithea,26,1997,17,15,"1,249",13.9,9,0,9,9,0,1,1,0,0.65,0,0.65,0.65,0.65,Matches
7,Nikolai Alho,fiFIN,DF,Asteras Tripoli,31,1993,20,16,"1,379",15.3,0,2,2,0,0,0,5,0,0,0.13,0.13,0,0.13,Matches
8,Omri Altman,ilISR,"MF,FW",Volos NFC,30,1994,14,10,850,9.4,0,0,0,0,0,1,1,0,0,0,0,0,0,Matches
9,Federico Álvarez,arARG,DF,Asteras Tripoli,29,1994,22,17,"1,570",17.4,1,0,1,1,0,0,4,0,0.06,0,0.06,0.06,0.06,Matches
10,Nordin Amrabat,maMAR,MF,AEK Athens,37,1987,6,3,254,2.8,1,1,2,0,1,1,1,0,0.35,0.35,0.71,0,0.35,Matches
11,Lucas Anacker,brBRA,GK,Levadiakos,27,1996,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
12,Alexandros Anagnostopoulos,grGRE,GK,Olympiacos,29,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Léo Andrade,brBRA,DF,PAS Lamia,26,1998,14,13,"1,035",11.5,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
14,Thanasis Androutsos,grGRE,"DF,MF",Olympiacos,27,1997,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Thanasis Androutsos,grGRE,MF,OFI Crete,27,1997,13,12,"1,008",11.2,0,1,1,0,0,0,4,0,0,0.09,0.09,0,0.09,Matches
16,Giannis Apostolakis,grGRE,MF,OFI Crete,19,2004,24,7,909,10.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
17,Apostolos Apostolopoulos,grGRE,DF,Olympiacos,21,2002,5,3,254,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
18,Apostolos Apostolopoulos,grGRE,"MF,DF",Panetolikos,21,2002,13,7,624,6.9,2,0,2,2,0,0,0,0,0.29,0,0.29,0.29,0.29,Matches
19,Willian Arão,brBRA,"MF,DF",Panathinaikos,31,1992,24,20,"1,647",18.3,1,0,1,1,0,0,4,0,0.05,0,0.05,0.05,0.05,Matches
20,Kyriakos Aslanidis,grGRE,DF,Volos NFC,22,2002,15,5,655,7.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
21,Jasin Assehnoun,fiFIN,MF,Volos NFC,25,1998,26,13,"1,242",13.8,1,2,3,1,0,0,6,0,0.07,0.14,0.22,0.07,0.22,Matches
22,Andreas Athanasakopoulos,grGRE,"MF,FW",PAS Lamia,22,2001,24,17,"1,458",16.2,1,0,1,1,0,0,3,1,0.06,0,0.06,0.06,0.06,Matches
23,Nicolaos Athanasiou,grGRE,"DF,MF",Atromitos,23,2001,30,27,"2,361",26.2,3,6,9,2,1,1,7,1,0.11,0.23,0.34,0.08,0.3,Matches
24,Aviv Avraham,ilISR,MF,Levadiakos,28,1996,8,2,244,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
25,Filip Bainović,rsSRB,MF,OFI Crete,28,1996,8,8,567,6.3,1,1,2,1,0,0,2,0,0.16,0.16,0.32,0.16,0.32,Matches
