Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
1,James Abankwah,ieIRL,"DF,MF",Udinese,20,2004,6,0,88,1,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,3,4,1,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
2,Saud Abdulhamid,saKSA,DF,Roma,25,1999,4,2,205,2.3,0,1,1,0,0,0,0,0,0,0,0.2,0.2,6,9,26,0,0.44,0.44,0,0.44,0.01,0.08,0.09,0.01,0.09,Matches
3,Oliver Abildgaard,dkDEN,MF,Como,28,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Tammy Abraham,engENG,FW,Roma,26,1997,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,Matches
5,Tammy Abraham,engENG,FW,Milan,26,1997,28,12,"1,183",13.1,3,4,7,2,1,2,1,0,7.1,5.4,2.2,7.6,8,26,69,0.23,0.3,0.53,0.15,0.46,0.54,0.16,0.7,0.41,0.58,Matches
6,Federico Accornero,itITA,MF,Genoa,20,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Francesco Acerbi,itITA,DF,Inter,36,1988,23,20,"1,710",19,0,1,1,0,0,0,0,0,0.4,0.4,0.6,1,19,62,22,0,0.05,0.05,0,0.05,0.02,0.03,0.05,0.02,0.05,Matches
8,Che Adams,sctSCO,FW,Torino,28,1996,36,30,"2,652",29.5,9,3,12,9,0,1,2,0,9,8.2,2,10.2,23,40,153,0.31,0.1,0.41,0.31,0.41,0.31,0.07,0.37,0.28,0.35,Matches
9,Yacine Adli,frFRA,MF,Fiorentina,24,2000,26,15,"1,234",13.7,4,6,10,4,0,0,3,1,1,1,2.4,3.4,24,103,30,0.29,0.44,0.73,0.29,0.73,0.08,0.17,0.25,0.08,0.25,Matches
10,Vasilije Adžić,meMNE,"MF,FW",Juventus,18,2006,6,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
11,Michel Aebischer,chSUI,MF,Bologna,27,1997,14,9,724,8,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,8,33,17,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09,Matches
12,Honest Ahanor,itITA,"DF,MF",Genoa,16,2008,6,3,270,3,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,3,3,7,0,0,0,0,0,0.17,0.04,0.21,0.17,0.21,Matches
13,Junior Ajayi,ciCIV,FW,Hellas Verona,19,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Jean-Daniel Akpa-Akpro,ciCIV,MF,Monza,31,1992,14,12,966,10.7,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.6,21,19,22,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
15,David Akpan Ankeye,ngNGA,"FW,MF",Genoa,22,2002,4,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,Matches
16,Faride Alidou,deGER,"FW,MF",Hellas Verona,23,2001,3,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches
17,Dele Alli,engENG,MF,Como,28,1996,1,0,9,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
18,Pontus Almqvist,seSWE,"FW,MF",Parma,25,1999,29,10,"1,112",12.4,1,1,2,1,0,0,5,0,2.1,2.1,1.3,3.5,42,12,85,0.08,0.08,0.16,0.08,0.16,0.17,0.11,0.28,0.17,0.28,Matches
19,Giorgio Altare,itITA,DF,Venezia,25,1998,12,8,753,8.4,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,4,20,5,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches
20,Sofyan Amrabat,maMAR,MF,Fiorentina,27,1996,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,14,1,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
21,Angeliño,esESP,DF,Roma,27,1997,38,36,"3,177",35.3,2,1,3,2,0,0,1,0,1.4,1.4,3.7,5.1,66,172,172,0.06,0.03,0.08,0.06,0.08,0.04,0.1,0.15,0.04,0.15,Matches
22,Lorenzo Anghelè,itITA,FW,Juventus,19,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
23,Faustino Anjorin,engENG,MF,Empoli,22,2001,22,14,"1,114",12.4,2,3,5,2,0,0,3,0,0.9,0.9,1.7,2.5,28,55,35,0.16,0.24,0.4,0.16,0.4,0.07,0.13,0.21,0.07,0.21,Matches
24,Marko Arnautović,atAUT,FW,Inter,35,1989,18,5,549,6.1,4,2,6,4,0,0,1,0,3.3,3.3,1.2,4.4,4,16,61,0.66,0.33,0.98,0.66,0.98,0.53,0.19,0.73,0.53,0.73,Matches
25,Kristjan Asllani,alALB,MF,Inter,22,2002,22,10,988,11,2,2,4,0,2,2,4,0,2.5,0.9,1.9,2.8,7,55,20,0.18,0.18,0.36,0,0.18,0.22,0.17,0.39,0.08,0.25,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Arthur Atta,frFRA,"MF,FW",Udinese,21,2003,27,12,"1,251",13.9,0,1,1,0,0,0,5,0,1.3,1.3,1.4,2.8,31,57,77,0,0.07,0.07,0,0.07,0.1,0.1,0.2,0.1,0.2,Matches
27,Emil Audero,idIDN,GK,Como,27,1997,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Tommaso Augello,itITA,DF,Cagliari,29,1994,38,30,"2,713",30.1,0,7,7,0,0,0,3,0,0.3,0.3,4.6,4.9,58,118,113,0,0.23,0.23,0,0.23,0.01,0.15,0.16,0.01,0.16,Matches
29,Carlos Augusto,brBRA,DF,Inter,25,1999,29,15,"1,691",18.8,3,2,5,3,0,0,1,0,2.8,2.8,1.6,4.4,31,80,83,0.16,0.11,0.27,0.16,0.27,0.15,0.08,0.23,0.15,0.23,Matches
30,Yann Aurel Bisseck,deGER,DF,Inter,23,2000,27,17,"1,643",18.3,3,2,5,3,0,0,4,0,2.6,2.6,0.9,3.4,32,93,44,0.16,0.11,0.27,0.16,0.27,0.14,0.05,0.19,0.14,0.19,Matches
31,Paulo Azzi,brBRA,DF,Cagliari,30,1994,6,5,426,4.7,0,0,0,0,0,0,2,0,0.5,0.5,0.9,1.4,15,13,26,0,0,0,0,0,0.11,0.19,0.3,0.11,0.3,Matches
32,Oussama El Azzouzi,maMAR,MF,Bologna,23,2001,2,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Jacopo Bacci,itITA,MF,Empoli,19,2005,3,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
34,Milan Badelj,hrCRO,MF,Genoa,35,1989,23,21,"1,472",16.4,1,0,1,1,0,0,2,0,1,1,1.1,2.1,8,83,14,0.06,0,0.06,0.06,0.06,0.06,0.07,0.13,0.06,0.13,Matches
35,Mitchel Bakker,nlNED,MF,Atalanta,24,2000,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
36,Tommaso Baldanzi,itITA,"MF,FW",Roma,21,2003,31,5,832,9.2,1,1,2,1,0,0,2,0,1.4,1.4,1,2.4,39,23,57,0.11,0.11,0.22,0.11,0.22,0.16,0.1,0.26,0.16,0.26,Matches
