,,,,Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
1,Korede Adedoyin,ngNGA,FW,IFK Mariehamn,24-213,2000,6,3,235,2.6,0,1,1,0,0,0,0,0,0.00,0.38,0.38,0.00,0.38,Matches
2,James Akintunde,engENG,FW,Haka,29-078,1996,7,5,388,4.3,2,0,2,2,0,0,0,0,0.46,0.00,0.46,0.46,0.46,Matches
3,Adeleke Akinyemi,ngNGA,FW,Ilves,26-277,1998,6,2,192,2.1,2,0,2,2,0,0,0,0,0.94,0.00,0.94,0.94,0.94,Matches
4,Lauri Ala-Myllymäki,fiFIN,"FW,MF",Ilves,28-011,1997,11,6,549,6.1,2,1,3,2,0,0,1,0,0.33,0.16,0.49,0.33,0.49,Matches
5,Asse Alain Guei,ciCIV,FW,Inter Turku,20-120,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Antonio Almen,fiFIN,MF,VPS,21-069,2004,2,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Mikael Almen,fiFIN,DF,Haka,25-099,2000,9,8,731,8.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Bismark Ampofo,ghGHA,MF,Inter Turku,22-315,2002,7,3,330,3.7,1,1,2,1,0,0,0,0,0.27,0.27,0.55,0.27,0.55,Matches
9,Leo Andersson,fiFIN,FW,IFK Mariehamn,21-004,2004,9,1,191,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Clinton Antwi,ghGHA,DF,KuPS,25-221,1999,6,4,369,4.1,0,1,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,Matches
11,Giorgos Antzoulas,grGRE,DF,HJK,25-131,2000,11,11,904,10.0,1,0,1,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches
12,Doni Arifi,fiFIN,"MF,FW",KuPS,23-065,2002,10,10,854,9.5,0,1,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches
13,Edmund Arko-Mensah,ghGHA,"MF,DF",IF Gnistan,23-279,2001,7,7,625,6.9,2,1,3,2,0,0,2,1,0.29,0.14,0.43,0.29,0.43,Matches
14,Markus Arsalo,fiFIN,MF,SJK,22-237,2002,12,11,"1,005",11.2,1,2,3,1,0,0,0,0,0.09,0.18,0.27,0.09,0.27,Matches
15,Felipe Aspegren,fiFIN,MF,Ilves,31-123,1994,8,2,293,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Artur Atarah,fiFIN,FW,IF Gnistan,20-129,2005,3,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Derrick Atta Agyei,ghGHA,DF,KuPS,21-329,2003,3,2,109,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Hassane Bandé,bfBFA,FW,HJK,26-228,1998,5,1,101,1.1,0,1,1,0,0,0,1,0,0.00,0.89,0.89,0.00,0.89,Matches
19,Enoch Banza,fiFIN,MF,KTP,25-131,2000,3,1,76,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Danny Barrow,wlsWAL,"MF,FW",AC Oulu,29-211,1995,10,8,568,6.3,1,1,2,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,Matches
21,Yevgeni Bashkirov,ruRUS,MF,IF Gnistan,33-344,1991,10,10,874,9.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Leon Bergsma,nlNED,DF,AC Oulu,28-141,1997,9,8,717,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Aron Bjonbäck,fiFIN,DF,FF Jaro,23-058,2002,7,5,466,5.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
24,Albin Björkskog,fiFIN,"MF,FW",FF Jaro,20-211,2004,10,7,652,7.2,1,2,3,1,0,0,0,0,0.14,0.28,0.41,0.14,0.41,Matches
25,Michael Boamah,fiFIN,DF,HJK,22-060,2003,3,0,70,0.8,1,0,1,1,0,0,0,0,1.29,0.00,1.29,1.29,1.29,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Momodou Bojang,gmGAM,FW,SJK,23-361,2001,9,6,453,5.0,1,1,2,1,0,0,4,0,0.20,0.20,0.40,0.20,0.40,Matches
27,Mads Borchers,dkDEN,FW,VPS,22-362,2002,6,6,405,4.5,5,1,6,3,2,2,0,0,1.11,0.22,1.33,0.67,0.89,Matches
28,Kouamé Botué,bfBFA,FW,Inter Turku,22-312,2002,9,1,209,2.3,0,1,1,0,0,0,1,0,0.00,0.43,0.43,0.00,0.43,Matches
29,Johan Brunell,fiFIN,DF,FF Jaro,34-017,1991,8,8,627,7.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
30,Danila Bulgakov,fiFIN,MF,Haka,20-146,2005,7,5,454,5.0,2,0,2,2,0,0,0,0,0.40,0.00,0.40,0.40,0.40,Matches
31,Marius Bustgaard Larsen,noNOR,"MF,FW",KTP,25-032,2000,10,6,523,5.8,0,1,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches
